number,name,symbol,mass,group,period,radius,red,green,blue,valence,filledShell,covalentRadius,vdWRadius,covalent,paulingEN,seHams,scovalent,eHams
57,Lanthanum,La,138.9055,0,6,,0.0,1.0,1.0,0,8,1.87,1.0,0,1.10,,,
58,Cerium,Ce,140.115,0,6,,0.0,1.0,1.0,0,8,1.83,2.0,0,1.12,,,
59,Praseodymium,Pr,140.90765,0,6,,0.0,1.0,1.0,0,8,1.82,2.0,0,1.13,,,
60,Neodymium,Nd,144.24,0,6,,0.0,1.0,1.0,0,8,1.81,2.0,0,1.14,,,
61,Promethium,Pm,145,0,6,,0.0,1.0,1.0,0,8,1.8,2.0,0,1.13,,,
62,Samarium,Sm,150.36,0,6,,0.0,1.0,1.0,0,8,1.8,2.0,0,1.17,,,
63,Europium,Eu,151.965,0,6,,0.0,1.0,1.0,0,8,1.99,2.0,0,1.20,,,
64,Gadolinium,Gd,157.25,0,6,,0.0,1.0,1.0,0,8,1.79,2.0,0,1.20,,,
65,Terbium,Tb,158.92534,0,6,,0.0,1.0,1.0,0,8,1.76,2.0,0,1.10,,,
66,Dysprosium,Dy,162.5,0,6,,0.0,1.0,1.0,0,8,1.75,2.0,0,1.22,,,
67,Holmium,Ho,164.93032,0,6,,0.0,1.0,1.0,0,8,1.74,2.0,0,1.23,,,
68,Erbium,Er,167.26,0,6,,0.0,1.0,1.0,0,8,1.73,2.0,0,1.24,,,
69,Thulium,Tm,168.93421,0,6,,0.0,1.0,1.0,0,8,1.72,2.0,0,1.24,,,
70,Ytterbium,Yb,173.04,0,6,,0.0,1.0,1.0,0,8,1.94,2.0,0,1.10,,,
71,Lutetium,Lu,174.967,3,6,,0.0,1.0,1.0,0,8,1.72,2.0,0,1.27,,,
72,Hafnium,Hf,178.49,4,6,,0.0,1.0,1.0,0,8,1.57,2.0,0,1.30,,,
73,Tantalum,Ta,180.9479,5,6,,0.0,1.0,1.0,0,8,1.43,2.0,0,1.50,,,
74,Tungsten,W,183.84,6,6,,0.0,1.0,1.0,0,8,1.37,2.0,0,2.36,,,
75,Rhenium,Re,186.207,7,6,,0.0,1.0,1.0,0,8,1.35,2.0,0,1.90,,,
76,Osmium,Os,190.23,8,6,,0.0,1.0,1.0,0,8,1.37,2.0,0,2.20,,,
77,Iridium,Ir,192.217,9,6,,0.0,1.0,1.0,0,8,1.32,2.0,0,2.20,,,
78,Platinum,Pt,195.08,10,6,,0.0,1.0,1.0,0,8,1.5,1.72,0,2.28,,,
79,Gold,Au,196.96654,11,6,,0.0,1.0,1.0,0,8,1.5,1.66,0,2.54,,,
80,Mercury,Hg,200.59,12,6,,0.0,1.0,1.0,0,8,1.7,1.55,0,2.00,MNDO AM1 PM3 MNDOD,,
